,season,holiday,workingday,casual,registered,count,date,hour,weekday,month
93,Spring,0,1,0,6,6,2011/1/5,1,Wednesday,January
94,Spring,0,1,0,2,2,2011/1/5,2,Wednesday,January
95,Spring,0,1,0,2,2,2011/1/5,4,Wednesday,January
96,Spring,0,1,0,3,3,2011/1/5,5,Wednesday,January
97,Spring,0,1,0,33,33,2011/1/5,6,Wednesday,January
98,Spring,0,1,1,87,88,2011/1/5,7,Wednesday,January
99,Spring,0,1,3,192,195,2011/1/5,8,Wednesday,January
100,Spring,0,1,6,109,115,2011/1/5,9,Wednesday,January
101,Spring,0,1,4,53,57,2011/1/5,10,Wednesday,January
102,Spring,0,1,12,34,46,2011/1/5,11,Wednesday,January
103,Spring,0,1,5,74,79,2011/1/5,12,Wednesday,January
104,Spring,0,1,6,65,71,2011/1/5,13,Wednesday,January
105,Spring,0,1,10,52,62,2011/1/5,14,Wednesday,January
106,Spring,0,1,7,55,62,2011/1/5,15,Wednesday,January
107,Spring,0,1,4,85,89,2011/1/5,16,Wednesday,January
108,Spring,0,1,4,186,190,2011/1/5,17,Wednesday,January
109,Spring,0,1,3,166,169,2011/1/5,18,Wednesday,January
110,Spring,0,1,5,127,132,2011/1/5,19,Wednesday,January
111,Spring,0,1,7,82,89,2011/1/5,20,Wednesday,January
112,Spring,0,1,3,40,43,2011/1/5,21,Wednesday,January
113,Spring,0,1,1,41,42,2011/1/5,22,Wednesday,January
114,Spring,0,1,1,18,19,2011/1/5,23,Wednesday,January
115,Spring,0,1,0,11,11,2011/1/6,0,Thursday,January
116,Spring,0,1,0,4,4,2011/1/6,1,Thursday,January
117,Spring,0,1,0,2,2,2011/1/6,2,Thursday,January
118,Spring,0,1,0,1,1,2011/1/6,4,Thursday,January
119,Spring,0,1,0,4,4,2011/1/6,5,Thursday,January
120,Spring,0,1,0,36,36,2011/1/6,6,Thursday,January
121,Spring,0,1,0,95,95,2011/1/6,7,Thursday,January
122,Spring,0,1,3,216,219,2011/1/6,8,Thursday,January
123,Spring,0,1,6,116,122,2011/1/6,9,Thursday,January
124,Spring,0,1,3,42,45,2011/1/6,10,Thursday,January
125,Spring,0,1,2,57,59,2011/1/6,11,Thursday,January
126,Spring,0,1,6,78,84,2011/1/6,12,Thursday,January
127,Spring,0,1,12,55,67,2011/1/6,13,Thursday,January
128,Spring,0,1,11,59,70,2011/1/6,14,Thursday,January
129,Spring,0,1,8,54,62,2011/1/6,15,Thursday,January
130,Spring,0,1,12,74,86,2011/1/6,16,Thursday,January
131,Spring,0,1,9,163,172,2011/1/6,17,Thursday,January
132,Spring,0,1,5,158,163,2011/1/6,18,Thursday,January
133,Spring,0,1,3,109,112,2011/1/6,19,Thursday,January
134,Spring,0,1,3,66,69,2011/1/6,20,Thursday,January
135,Spring,0,1,0,48,48,2011/1/6,21,Thursday,January
136,Spring,0,1,1,51,52,2011/1/6,22,Thursday,January
137,Spring,0,1,4,19,23,2011/1/6,23,Thursday,January
138,Spring,0,1,4,13,17,2011/1/7,0,Friday,January
139,Spring,0,1,2,5,7,2011/1/7,1,Friday,January
140,Spring,0,1,0,1,1,2011/1/7,2,Friday,January
141,Spring,0,1,0,1,1,2011/1/7,4,Friday,January
142,Spring,0,1,0,5,5,2011/1/7,5,Friday,January
143,Spring,0,1,8,26,34,2011/1/7,6,Friday,January
144,Spring,0,1,8,76,84,2011/1/7,7,Friday,January
145,Spring,0,1,20,190,210,2011/1/7,8,Friday,January
146,Spring,0,1,9,125,134,2011/1/7,9,Friday,January
147,Spring,0,1,16,47,63,2011/1/7,10,Friday,January
148,Spring,0,1,19,48,67,2011/1/7,11,Friday,January
149,Spring,0,1,9,50,59,2011/1/7,12,Friday,January
150,Spring,0,1,9,64,73,2011/1/7,13,Friday,January
151,Spring,0,1,7,43,50,2011/1/7,14,Friday,January
152,Spring,0,1,9,63,72,2011/1/7,15,Friday,January
153,Spring,0,1,5,82,87,2011/1/7,16,Friday,January
154,Spring,0,1,9,178,187,2011/1/7,17,Friday,January
155,Spring,0,1,7,116,123,2011/1/7,18,Friday,January
156,Spring,0,1,3,92,95,2011/1/7,19,Friday,January
157,Spring,0,1,1,50,51,2011/1/7,20,Friday,January
158,Spring,0,1,0,39,39,2011/1/7,21,Friday,January
159,Spring,0,1,2,34,36,2011/1/7,22,Friday,January
160,Spring,0,1,1,14,15,2011/1/7,23,Friday,January
161,Spring,0,0,1,24,25,2011/1/8,0,Saturday,January
162,Spring,0,0,1,15,16,2011/1/8,1,Saturday,January
163,Spring,0,0,3,13,16,2011/1/8,2,Saturday,January
164,Spring,0,0,0,7,7,2011/1/8,3,Saturday,January
165,Spring,0,0,0,1,1,2011/1/8,4,Saturday,January
166,Spring,0,0,0,5,5,2011/1/8,5,Saturday,January
167,Spring,0,0,0,2,2,2011/1/8,6,Saturday,January
168,Spring,0,0,1,8,9,2011/1/8,7,Saturday,January
169,Spring,0,0,0,15,15,2011/1/8,8,Saturday,January
170,Spring,0,0,0,20,20,2011/1/8,9,Saturday,January
171,Spring,0,0,5,56,61,2011/1/8,10,Saturday,January
172,Spring,0,0,2,60,62,2011/1/8,11,Saturday,January
173,Spring,0,0,8,90,98,2011/1/8,12,Saturday,January
174,Spring,0,0,7,95,102,2011/1/8,13,Saturday,January
175,Spring,0,0,12,83,95,2011/1/8,14,Saturday,January
176,Spring,0,0,5,69,74,2011/1/8,15,Saturday,January
177,Spring,0,0,8,68,76,2011/1/8,16,Saturday,January
178,Spring,0,0,5,64,69,2011/1/8,17,Saturday,January
179,Spring,0,0,3,52,55,2011/1/8,18,Saturday,January
180,Spring,0,0,4,26,30,2011/1/8,19,Saturday,January
181,Spring,0,0,0,28,28,2011/1/8,20,Saturday,January
182,Spring,0,0,2,35,37,2011/1/8,21,Saturday,January
183,Spring,0,0,1,33,34,2011/1/8,22,Saturday,January
184,Spring,0,0,0,22,22,2011/1/8,23,Saturday,January
185,Spring,0,0,1,24,25,2011/1/9,0,Sunday,January
186,Spring,0,0,0,12,12,2011/1/9,1,Sunday,January
187,Spring,0,0,0,11,11,2011/1/9,2,Sunday,January
188,Spring,0,0,0,4,4,2011/1/9,3,Sunday,January
189,Spring,0,0,0,1,1,2011/1/9,4,Sunday,January
190,Spring,0,0,0,1,1,2011/1/9,5,Sunday,January
191,Spring,0,0,0,1,1,2011/1/9,6,Sunday,January
192,Spring,0,0,1,5,6,2011/1/9,7,Sunday,January
193,Spring,0,0,0,10,10,2011/1/9,8,Sunday,January
194,Spring,0,0,0,19,19,2011/1/9,9,Sunday,January
195,Spring,0,0,0,49,49,2011/1/9,10,Sunday,January
196,Spring,0,0,2,47,49,2011/1/9,11,Sunday,January
197,Spring,0,0,4,79,83,2011/1/9,12,Sunday,January
198,Spring,0,0,6,69,75,2011/1/9,13,Sunday,January
199,Spring,0,0,8,64,72,2011/1/9,14,Sunday,January
200,Spring,0,0,5,77,82,2011/1/9,15,Sunday,January
201,Spring,0,0,13,79,92,2011/1/9,16,Sunday,January
202,Spring,0,0,3,59,62,2011/1/9,17,Sunday,January
203,Spring,0,0,4,44,48,2011/1/9,18,Sunday,January
204,Spring,0,0,1,40,41,2011/1/9,19,Sunday,January
205,Spring,0,0,0,38,38,2011/1/9,20,Sunday,January
206,Spring,0,0,1,19,20,2011/1/9,21,Sunday,January
207,Spring,0,0,5,10,15,2011/1/9,22,Sunday,January
208,Spring,0,0,0,6,6,2011/1/9,23,Sunday,January
209,Spring,0,1,2,3,5,2011/1/10,0,Monday,January
210,Spring,0,1,1,0,1,2011/1/10,1,Monday,January
211,Spring,0,1,0,3,3,2011/1/10,2,Monday,January
212,Spring,0,1,0,1,1,2011/1/10,3,Monday,January
213,Spring,0,1,1,2,3,2011/1/10,4,Monday,January
214,Spring,0,1,0,3,3,2011/1/10,5,Monday,January
215,Spring,0,1,0,31,31,2011/1/10,6,Monday,January
216,Spring,0,1,2,75,77,2011/1/10,7,Monday,January
217,Spring,0,1,4,184,188,2011/1/10,8,Monday,January
218,Spring,0,1,2,92,94,2011/1/10,9,Monday,January
219,Spring,0,1,0,31,31,2011/1/10,10,Monday,January
220,Spring,0,1,2,28,30,2011/1/10,11,Monday,January
221,Spring,0,1,5,47,52,2011/1/10,12,Monday,January
222,Spring,0,1,4,50,54,2011/1/10,13,Monday,January
223,Spring,0,1,0,47,47,2011/1/10,14,Monday,January
224,Spring,0,1,2,43,45,2011/1/10,15,Monday,January
225,Spring,0,1,4,70,74,2011/1/10,16,Monday,January
226,Spring,0,1,4,174,178,2011/1/10,17,Monday,January
227,Spring,0,1,1,154,155,2011/1/10,18,Monday,January
228,Spring,0,1,3,92,95,2011/1/10,19,Monday,January
229,Spring,0,1,1,73,74,2011/1/10,20,Monday,January
230,Spring,0,1,1,37,38,2011/1/10,21,Monday,January
231,Spring,0,1,2,22,24,2011/1/10,22,Monday,January
232,Spring,0,1,0,18,18,2011/1/10,23,Monday,January
233,Spring,0,1,2,10,12,2011/1/11,0,Tuesday,January
234,Spring,0,1,0,3,3,2011/1/11,1,Tuesday,January
235,Spring,0,1,0,3,3,2011/1/11,2,Tuesday,January
236,Spring,0,1,0,6,6,2011/1/11,5,Tuesday,January
237,Spring,0,1,0,27,27,2011/1/11,6,Tuesday,January
238,Spring,0,1,2,97,99,2011/1/11,7,Tuesday,January
239,Spring,0,1,3,214,217,2011/1/11,8,Tuesday,January
240,Spring,0,1,3,127,130,2011/1/11,9,Tuesday,January
241,Spring,0,1,3,51,54,2011/1/11,10,Tuesday,January
242,Spring,0,1,4,31,35,2011/1/11,11,Tuesday,January
243,Spring,0,1,2,55,57,2011/1/11,12,Tuesday,January
244,Spring,0,1,6,46,52,2011/1/11,13,Tuesday,January
245,Spring,0,1,3,60,63,2011/1/11,14,Tuesday,January
246,Spring,0,1,2,45,47,2011/1/11,15,Tuesday,January
247,Spring,0,1,4,72,76,2011/1/11,16,Tuesday,January
248,Spring,0,1,6,130,136,2011/1/11,17,Tuesday,January
249,Spring,0,1,1,94,95,2011/1/11,18,Tuesday,January
250,Spring,0,1,0,51,51,2011/1/11,19,Tuesday,January
251,Spring,0,1,0,32,32,2011/1/11,20,Tuesday,January
252,Spring,0,1,0,20,20,2011/1/11,21,Tuesday,January
253,Spring,0,1,1,28,29,2011/1/11,22,Tuesday,January
254,Spring,0,1,1,18,19,2011/1/11,23,Tuesday,January
255,Spring,0,1,0,7,7,2011/1/12,0,Wednesday,January
256,Spring,0,1,0,6,6,2011/1/12,1,Wednesday,January
257,Spring,0,1,0,1,1,2011/1/12,2,Wednesday,January
258,Spring,0,1,0,5,5,2011/1/12,5,Wednesday,January
259,Spring,0,1,0,16,16,2011/1/12,6,Wednesday,January
260,Spring,0,1,0,54,54,2011/1/12,7,Wednesday,January
261,Spring,0,1,3,125,128,2011/1/12,8,Wednesday,January
262,Spring,0,1,3,78,81,2011/1/12,9,Wednesday,January
263,Spring,0,1,0,39,39,2011/1/12,10,Wednesday,January
264,Spring,0,1,3,32,35,2011/1/12,11,Wednesday,January
265,Spring,0,1,3,52,55,2011/1/12,12,Wednesday,January
266,Spring,0,1,0,49,49,2011/1/12,13,Wednesday,January
267,Spring,0,1,0,44,44,2011/1/12,14,Wednesday,January
268,Spring,0,1,1,48,49,2011/1/12,15,Wednesday,January
269,Spring,0,1,5,63,68,2011/1/12,16,Wednesday,January
270,Spring,0,1,0,139,139,2011/1/12,17,Wednesday,January
271,Spring,0,1,2,135,137,2011/1/12,18,Wednesday,January
272,Spring,0,1,1,82,83,2011/1/12,19,Wednesday,January
273,Spring,0,1,2,54,56,2011/1/12,20,Wednesday,January
274,Spring,0,1,0,57,57,2011/1/12,21,Wednesday,January
275,Spring,0,1,1,32,33,2011/1/12,22,Wednesday,January
276,Spring,0,1,1,19,20,2011/1/12,23,Wednesday,January
277,Spring,0,1,1,6,7,2011/1/13,0,Thursday,January
278,Spring,0,1,0,2,2,2011/1/13,1,Thursday,January
279,Spring,0,1,0,2,2,2011/1/13,2,Thursday,January
280,Spring,0,1,0,3,3,2011/1/13,3,Thursday,January
281,Spring,0,1,0,4,4,2011/1/13,4,Thursday,January
282,Spring,0,1,0,3,3,2011/1/13,5,Thursday,January
283,Spring,0,1,0,28,28,2011/1/13,6,Thursday,January
284,Spring,0,1,0,72,72,2011/1/13,7,Thursday,January
285,Spring,0,1,5,197,202,2011/1/13,8,Thursday,January
286,Spring,0,1,2,137,139,2011/1/13,9,Thursday,January
287,Spring,0,1,2,36,38,2011/1/13,10,Thursday,January
288,Spring,0,1,4,33,37,2011/1/13,11,Thursday,January
289,Spring,0,1,3,49,52,2011/1/13,12,Thursday,January
290,Spring,0,1,2,81,83,2011/1/13,13,Thursday,January
291,Spring,0,1,3,39,42,2011/1/13,14,Thursday,January
292,Spring,0,1,5,55,60,2011/1/13,15,Thursday,January
293,Spring,0,1,2,76,78,2011/1/13,16,Thursday,January
294,Spring,0,1,4,158,162,2011/1/13,17,Thursday,January
295,Spring,0,1,3,141,144,2011/1/13,18,Thursday,January
296,Spring,0,1,1,98,99,2011/1/13,19,Thursday,January
297,Spring,0,1,0,64,64,2011/1/13,20,Thursday,January
298,Spring,0,1,0,40,40,2011/1/13,21,Thursday,January
299,Spring,0,1,0,30,30,2011/1/13,22,Thursday,January
300,Spring,0,1,1,14,15,2011/1/13,23,Thursday,January
301,Spring,0,1,0,14,14,2011/1/14,0,Friday,January
302,Spring,0,1,0,5,5,2011/1/14,1,Friday,January
303,Spring,0,1,0,1,1,2011/1/14,2,Friday,January
304,Spring,0,1,0,1,1,2011/1/14,3,Friday,January
305,Spring,0,1,0,8,8,2011/1/14,5,Friday,January
306,Spring,0,1,0,17,17,2011/1/14,6,Friday,January
307,Spring,0,1,0,70,70,2011/1/14,7,Friday,January
308,Spring,0,1,2,156,158,2011/1/14,8,Friday,January
309,Spring,0,1,0,117,117,2011/1/14,9,Friday,January
310,Spring,0,1,4,40,44,2011/1/14,10,Friday,January
311,Spring,0,1,6,47,53,2011/1/14,11,Friday,January
312,Spring,0,1,2,59,61,2011/1/14,12,Friday,January
313,Spring,0,1,4,73,77,2011/1/14,13,Friday,January
314,Spring,0,1,5,59,64,2011/1/14,14,Friday,January
315,Spring,0,1,9,59,68,2011/1/14,15,Friday,January
316,Spring,0,1,3,87,90,2011/1/14,16,Friday,January
317,Spring,0,1,4,155,159,2011/1/14,17,Friday,January
318,Spring,0,1,5,134,139,2011/1/14,18,Friday,January
319,Spring,0,1,3,89,92,2011/1/14,19,Friday,January
320,Spring,0,1,0,68,68,2011/1/14,20,Friday,January
321,Spring,0,1,4,48,52,2011/1/14,21,Friday,January
322,Spring,0,1,2,34,36,2011/1/14,22,Friday,January
323,Spring,0,1,1,26,27,2011/1/14,23,Friday,January
324,Spring,0,0,3,25,28,2011/1/15,0,Saturday,January
325,Spring,0,0,2,18,20,2011/1/15,1,Saturday,January
326,Spring,0,0,0,12,12,2011/1/15,2,Saturday,January
327,Spring,0,0,1,7,8,2011/1/15,3,Saturday,January
328,Spring,0,0,0,5,5,2011/1/15,4,Saturday,January
329,Spring,0,0,0,1,1,2011/1/15,5,Saturday,January
330,Spring,0,0,1,2,3,2011/1/15,6,Saturday,January
331,Spring,0,0,1,9,10,2011/1/15,7,Saturday,January
332,Spring,0,0,1,22,23,2011/1/15,8,Saturday,January
333,Spring,0,0,2,31,33,2011/1/15,9,Saturday,January
334,Spring,0,0,2,57,59,2011/1/15,10,Saturday,January
335,Spring,0,0,18,54,72,2011/1/15,11,Saturday,January
336,Spring,0,0,15,74,89,2011/1/15,12,Saturday,January
337,Spring,0,0,21,80,101,2011/1/15,13,Saturday,January
338,Spring,0,0,26,92,118,2011/1/15,14,Saturday,January
339,Spring,0,0,21,108,129,2011/1/15,15,Saturday,January
340,Spring,0,0,33,95,128,2011/1/15,16,Saturday,January
341,Spring,0,0,29,54,83,2011/1/15,17,Saturday,January
342,Spring,0,0,15,69,84,2011/1/15,18,Saturday,January
343,Spring,0,0,14,60,74,2011/1/15,19,Saturday,January
344,Spring,0,0,6,35,41,2011/1/15,20,Saturday,January
345,Spring,0,0,6,51,57,2011/1/15,21,Saturday,January
346,Spring,0,0,0,26,26,2011/1/15,22,Saturday,January
347,Spring,0,0,5,39,44,2011/1/15,23,Saturday,January
348,Spring,0,0,6,33,39,2011/1/16,0,Sunday,January
349,Spring,0,0,4,19,23,2011/1/16,1,Sunday,January
350,Spring,0,0,3,13,16,2011/1/16,2,Sunday,January
351,Spring,0,0,9,6,15,2011/1/16,3,Sunday,January
352,Spring,0,0,0,1,1,2011/1/16,4,Sunday,January
353,Spring,0,0,1,1,2,2011/1/16,5,Sunday,January
354,Spring,0,0,0,1,1,2011/1/16,6,Sunday,January
355,Spring,0,0,0,3,3,2011/1/16,7,Sunday,January
356,Spring,0,0,0,18,18,2011/1/16,8,Sunday,January
357,Spring,0,0,3,29,32,2011/1/16,9,Sunday,January
358,Spring,0,0,8,71,79,2011/1/16,10,Sunday,January
359,Spring,0,0,23,70,93,2011/1/16,11,Sunday,January
360,Spring,0,0,29,75,104,2011/1/16,12,Sunday,January
361,Spring,0,0,23,95,118,2011/1/16,13,Sunday,January
362,Spring,0,0,22,69,91,2011/1/16,14,Sunday,January
363,Spring,0,0,35,78,113,2011/1/16,15,Sunday,January
364,Spring,0,0,22,77,99,2011/1/16,16,Sunday,January
365,Spring,0,0,23,82,105,2011/1/16,17,Sunday,January
366,Spring,0,0,11,56,67,2011/1/16,18,Sunday,January
367,Spring,0,0,14,47,61,2011/1/16,19,Sunday,January
368,Spring,0,0,7,50,57,2011/1/16,20,Sunday,January
369,Spring,0,0,6,22,28,2011/1/16,21,Sunday,January
370,Spring,0,0,2,19,21,2011/1/16,22,Sunday,January
371,Spring,0,0,0,18,18,2011/1/16,23,Sunday,January
372,Spring,1,0,1,16,17,2011/1/17,0,Monday,January
373,Spring,1,0,1,15,16,2011/1/17,1,Monday,January
374,Spring,1,0,0,8,8,2011/1/17,2,Monday,January
375,Spring,1,0,0,2,2,2011/1/17,3,Monday,January
376,Spring,1,0,1,2,3,2011/1/17,4,Monday,January
377,Spring,1,0,0,1,1,2011/1/17,5,Monday,January
378,Spring,1,0,0,5,5,2011/1/17,6,Monday,January
379,Spring,1,0,4,9,13,2011/1/17,7,Monday,January
380,Spring,1,0,3,30,33,2011/1/17,8,Monday,January
381,Spring,1,0,8,39,47,2011/1/17,9,Monday,January
382,Spring,1,0,7,50,57,2011/1/17,10,Monday,January
383,Spring,1,0,9,55,64,2011/1/17,11,Monday,January
384,Spring,1,0,10,70,80,2011/1/17,12,Monday,January
385,Spring,1,0,13,80,93,2011/1/17,13,Monday,January
386,Spring,1,0,12,74,86,2011/1/17,14,Monday,January
387,Spring,1,0,21,72,93,2011/1/17,15,Monday,January
388,Spring,1,0,6,76,82,2011/1/17,16,Monday,January
389,Spring,1,0,4,67,71,2011/1/17,17,Monday,January
390,Spring,1,0,7,85,92,2011/1/17,18,Monday,January
391,Spring,1,0,2,58,60,2011/1/17,19,Monday,January
392,Spring,1,0,4,29,33,2011/1/17,20,Monday,January
393,Spring,1,0,3,24,27,2011/1/17,21,Monday,January
394,Spring,1,0,0,13,13,2011/1/17,22,Monday,January
395,Spring,1,0,1,3,4,2011/1/17,23,Monday,January
396,Spring,0,1,0,3,3,2011/1/18,12,Tuesday,January
397,Spring,0,1,0,22,22,2011/1/18,13,Tuesday,January
398,Spring,0,1,2,26,28,2011/1/18,14,Tuesday,January
399,Spring,0,1,3,32,35,2011/1/18,15,Tuesday,January
400,Spring,0,1,0,61,61,2011/1/18,16,Tuesday,January
401,Spring,0,1,1,124,125,2011/1/18,17,Tuesday,January
402,Spring,0,1,1,132,133,2011/1/18,18,Tuesday,January
403,Spring,0,1,1,98,99,2011/1/18,19,Tuesday,January
404,Spring,0,1,0,83,83,2011/1/18,20,Tuesday,January
405,Spring,0,1,0,41,41,2011/1/18,21,Tuesday,January
406,Spring,0,1,0,33,33,2011/1/18,22,Tuesday,January
407,Spring,0,1,1,19,20,2011/1/18,23,Tuesday,January
408,Spring,0,1,0,3,3,2011/1/19,0,Wednesday,January
409,Spring,0,1,1,6,7,2011/1/19,1,Wednesday,January
410,Spring,0,1,0,3,3,2011/1/19,2,Wednesday,January
411,Spring,0,1,1,1,2,2011/1/19,4,Wednesday,January
412,Spring,0,1,0,7,7,2011/1/19,5,Wednesday,January
413,Spring,0,1,0,32,32,2011/1/19,6,Wednesday,January
414,Spring,0,1,1,89,90,2011/1/19,7,Wednesday,January
415,Spring,0,1,1,196,197,2011/1/19,8,Wednesday,January
416,Spring,0,1,2,107,109,2011/1/19,9,Wednesday,January
417,Spring,0,1,1,46,47,2011/1/19,10,Wednesday,January
418,Spring,0,1,5,47,52,2011/1/19,11,Wednesday,January
419,Spring,0,1,5,65,70,2011/1/19,12,Wednesday,January
420,Spring,0,1,11,67,78,2011/1/19,13,Wednesday,January
421,Spring,0,1,7,68,75,2011/1/19,14,Wednesday,January
422,Spring,0,1,4,78,82,2011/1/19,15,Wednesday,January
423,Spring,0,1,10,94,104,2011/1/19,16,Wednesday,January
424,Spring,0,1,7,190,197,2011/1/19,17,Wednesday,January
425,Spring,0,1,5,156,161,2011/1/19,18,Wednesday,January
426,Spring,0,1,4,108,112,2011/1/19,19,Wednesday,January
427,Spring,0,1,2,74,76,2011/1/19,20,Wednesday,January
428,Spring,0,1,4,55,59,2011/1/19,21,Wednesday,January
429,Spring,0,1,6,53,59,2011/1/19,22,Wednesday,January
430,Spring,0,1,1,27,28,2011/1/19,23,Wednesday,January
431,Spring,0,1,2,6,8,2011/2/1,0,Tuesday,February
432,Spring,0,1,0,3,3,2011/2/1,1,Tuesday,February
433,Spring,0,1,0,2,2,2011/2/1,2,Tuesday,February
434,Spring,0,1,0,2,2,2011/2/1,3,Tuesday,February
